statement,controversy,truth
People are ultimately responsible for their own success or failure in life.,0.2857142857142857,1.0
Emotions should not be the sole basis for decision-making.,0.0,1.0
Objectivity is more important than subjectivity,0.0,1.0
"Hard work and talent are not the only factors in determining success, luck also plays a role.",0.0,0.875
Emotions should not be the sole basis for decision making.,0.0,1.0
The existence of life beyond Earth is not a proven fact.,0.0,1.0
Emotions shouldn't dictate decision making.,0.0,1.0
Happiness is not the ultimate goal in life,0.0,0.5
"Life is not fair, and that’s okay.",0.0,0.8571428571428571
Emotions should not always dictate our decisions.,0.0,1.0
Emotions can cloud judgment and lead to poor decisions,0.0,1.0
Emotions should not be placed above reason in decision-making,0.0,1.0
The belief in a soul or an afterlife is not supported by scientific evidence.,0.0,1.0
It is better to prioritize efficiency over sentimentality,0.0,1.0
"In certain situations, it may be necessary to sacrifice the few for the benefit of the many.",0.75,1.0
"The economy is ultimately driven by market forces, regardless of government intervention or regulation.",0.0,0.8571428571428571
Strict gun laws do not necessarily reduce crime,0.0,1.0
Emotions should not be the primary factor in making important decisions,0.0,1.0
Emotions are not a reliable guide for decision making.,0.0,1.0
Censorship of uncomfortable ideas is counterproductive to progress.,0.0,1.0
The death penalty can be an appropriate punishment in certain cases,0.0,1.0
Faith should not be solely relied upon when making important decisions,0.0,1.0
"Taking risks is necessary for success, but it also comes with potential failure.",0.0,1.0
Emotional arguments should be evaluated critically rather than being blindly accepted.,0.25,1.0
Emotions are not always a reliable guide to decision-making.,1.0,1.0
Emotions should not be the sole basis for decision-making.,0.0,1.0
Emotional reasoning should not be the sole basis for making important decisions.,0.0,1.0
We should prioritize resource allocation to benefit those who contribute the most to society.,1.0,0.2
Animal experimentation can lead to important medical breakthroughs.,0.0,1.0
Emotions should not play a significant role in decision-making.,0.0,1.0
Not everyone deserves equal opportunities in life,1.0,0.25
Emotions should not be the only factor considered when making important decisions,0.0,1.0
Emotions can often cloud our judgement and should not be relied upon solely in decision-making.,,1.0
Emotions should not be the sole basis for decision-making.,0.0,1.0
Emotions should not always guide decision-making,0.0,1.0
Emotions can cloud our judgment and lead us to make irrational decisions.,0.0,1.0
The concept of love is simply a biological function designed to help us procreate,0.0,0.3333333333333333
Personal feelings and emotions should not dictate important decisions.,0.625,1.0
Some people are simply not cut out for certain jobs or careers.,0.375,1.0
"Emotions should not drive decision making, but rather practical reasoning and analysis.",0.125,1.0
Genetic differences between races can impact abilities and intelligence levels in certain areas.,1.0,0.8
It is more important to focus on the tangible benefits of an action rather than its emotional impact.,0.0,1.0
Religious beliefs do not have any scientific evidence to support them.,1.0,1.0
Emotions should not always guide decision making.,0.5,1.0
Personal feelings do not determine the truth of a statement.,0.7142857142857143,1.0
Mandatory charity and welfare programs can create a dependency cycle among recipients.,0.0,1.0
Morals are subjective and can differ based on culture and personal beliefs.,0.8333333333333334,1.0
Emotions are not always a reliable guide for decision-making,0.0,1.0
The majority of people's beliefs are shaped by cultural upbringing rather than logical reasoning.,0.0,0.5
It is more important to focus on personal well-being and success than to prioritize the needs of society as a whole.,0.5,0.4
Some people are simply born with more advantages and opportunities than others.,0.0,1.0
Climate change is a result of natural cycles and may not be entirely caused by human activity,0.0,0.25
Emotions are not always a reliable indicator of truth or reality,0.0,1.0
Personal feelings should not dictate public policy decisions.,0.0,1.0
Moral values are subjective and can vary greatly across different cultures and societies.,0.0,1.0
Emotions shouldn't dictate important decisions,0.0,1.0
Human beings are complex animals with no inherent purpose or meaning in life.,0.0,1.0
Emotions should not override reason when making decisions,0.0,1.0
It's important to prioritize personal goals over altruism in certain situations.,0.0,0.75
Sometimes it's necessary to use manipulation in order to achieve success,0.75,0.0
The government is not responsible for providing for individuals' basic needs.,0.875,1.0
Emotions should not be the primary factor in decision-making.,0.0,1.0
The idea of destiny and fate is nothing but a comforting myth.,0.0,0.875
Emotions should not be the primary basis for decision-making,0.0,1.0
Feelings are not a valid determiner of truth.,0.125,1.0
Emotions should not be the sole basis for decision making.,0.0,1.0
It is important to prioritize personal self-interest over altruism,0.25,0.25
Blindly following tradition or culture can be detrimental to progress and growth.,0.0,1.0
Beliefs and feelings should not dictate decisions or actions.,0.125,1.0
Emotional appeals are not a reliable way to persuade someone to change their mind.,0.0,1.0
"Emotions should not govern important decisions, rational thinking and analysis should be prioritized.",0.0,1.0
"Everyone has some inherent biases and prejudices, and it is our responsibility to recognize and work to overcome them.",0.0,1.0
It is better to be realistic than optimistic.,0.0,1.0
It is not fair to expect everyone to have the same opportunities in life.,0.0,0.8333333333333334
Freedom of speech includes the right to express offensive or unpopular opinions.,0.25,1.0
Overpopulation is a pressing issue that needs to be addressed.,0.0,1.0
People should not always be given a second chance,0.14285714285714285,1.0
Emotions should not cloud our judgment when making decisions,0.0,1.0
"The concept of free will is largely an illusion, and most of our decisions are influenced by factors beyond our control.",0.0,1.0
Emotions can often cloud rational decision-making,0.8333333333333334,1.0
Emotions should not be the sole basis for decision-making.,0.0,1.0
Moral principles are subjective and vary between cultures and individuals.,0.0,1.0
Emotions and personal feelings should not dictate decision-making.,1.0,1.0
Emotions should not be the sole basis for decision-making.,0.0,1.0
Emotions should not be the main driving force behind important decisions.,0.0,1.0
Personal beliefs should not dictate policy decisions.,0.375,1.0
Morality is subjective and varies based on culture and upbringing.,0.0,0.8571428571428571
Emotions can cloud judgment and should not always be relied upon when making decisions.,0.625,1.0
Emotions should not be the sole factor in decision-making,0.0,1.0
It is better to prioritize economic growth over environmental conservation in certain situations.,0.25,0.75
Emotions can cloud judgment and should be kept in check when making decisions,0.0,1.0
Strict immigration policies may be necessary for protecting a country's economy and safety,0.25,1.0
