statement,controversy,truth
Money is an unimportant factor in achieving success,0.0,0.0
There is one right way for all people to live.,0.38671098403434373,0.0
Money can buy happiness,0.002706653999135012,0.0
"People are not inherently selfish, but rather strive for cooperation",0.0017951543129254227,0.9654009136174145
Life is fair and everyone has the same chance of success,0.0,0.0
People can change their fate by simply willing it.,0.004261742602553256,0.0
People should always tell the whole truth no matter what the consequences are.,0.0059681647706141625,0.0
Education can cure poverty.,0.007241214274876584,0.0
Everything happens for a reason.,0.0,0.0
Money can buy happiness.,0.10752786198636934,0.0
Everyone has equal access to quality education,0.0,0.17563720585009412
Ignoring bad news is the best way to stay positive.,0.0031215154325415708,0.0
Everyone is equally capable of being successful in life.,0.0030820201032606856,0.0
Money is the ultimate source of happiness.,0.06728827971472186,0.0
Money is the most important factor in achieving success,0.00540524765751369,0.0
Life has an intrinsic meaning and purpose,0.0,0.0
Everyone is the same and should be treated equally,0.0017198058654878533,0.9956283338530775
Inequality is always bad,0.005554744224272819,0.0
Practicing meditation can help cure any mental illness,0.0,0.0
Everyone is equally capable of becoming a leader,0.0018438483050840302,0.0
All drugs are bad for your health and should be avoided,0.0,0.0
Eating unhealthy food is always bad for you.,0.0,0.0
Money will make you happy,0.0,0.0
Money doesn't buy happiness,0.0,0.0005912534799415547
Money always brings happiness.,0.01607644743292191,0.0
Everyone is born with the same intelligence level,0.0,0.0
Money is the root of all evil,0.017018685396686724,0.0
We can solve all of the world's problems with technology,0.0016377446922085485,0.0
People should never rely on luck or chance to make decisions,0.0,0.0009846185231210543
Rich people always work harder than poor people,0.09235437683925359,0.0
Everyone always has time to pursue their dreams,0.0,0.0
Going to college is always the path to a successful life.,0.002635788519609066,0.0
All bad days will eventually come to an end.,0.0,0.1086644821741938
Money brings happiness,0.0024982579803933228,0.0
Thinking positively has a direct effect on one’s health and wellbeing.,0.0,0.00022868455425373104
Doing hard work is the only path to success,0.0,0.0
All religions are equally valid paths to spiritual enlightenment,0.0,0.0
Money is the key to happiness,0.0,0.0
The winners of elections are always the best candidates,0.0,0.0
"Everyone should have the same amount of money, regardless of how hard they work",0.09703000886985731,0.0
We can solve any problem if we put our minds together,0.0,7.194906246111623e-06
"Everyone has the same chance to succeed in life, no matter their circumstances",0.0,0.0
Money is the most important thing in life.,0.5891416647149142,0.0
Money can buy happiness,0.0026638958422397865,0.0
Everyone is born with an equal chance of success,0.0,0.0
All forms of violence should be avoided in any situation.,0.004230494526637317,0.9999992109036101
Money is the key to happiness,0.0,0.0
People can't change their fate or destiny,0.0,0.0
Money is the root of all evil,0.017006277123248148,0.0
We can solve all of our societal problems by simply changing our attitudes and beliefs.,0.007270984876279903,0.0
Doing good deeds will always lead to happiness,0.0,0.0
Suffering is necessary in order to experience true joy.,0.7681538262297913,0.0
We can solve any problem if we work hard enough,0.0,0.0
Humans are basically good and can be trusted to do the right thing.,0.002242627747266293,0.0
Doing what feels good will bring you more joy in life than doing what is right.,0.2702638946512762,0.0
A healthy lifestyle guarantees a longer life.,0.0,0.0
Money is the key to happiness.,0.022555665441729947,0.0
Intuition is a reliable guide for all decisions,0.0,0.0
You can't teach an old dog new tricks,0.0,0.0
Everyone has the same potential to be successful in life.,0.0033893368788168138,0.0
We can easily solve our environmental problems if we all work together,0.0023003996078573897,3.480040048341231e-05
Success is determined by luck.,0.3168917296626447,0.0
Money can buy happiness,0.0027585398980490574,0.0
Money is the most important thing in life,0.006805548174048853,0.0
Eating healthy always leads to a longer life.,0.0,0.0
No one should ever have to pay for healthcare,0.0017235300941693314,0.0
All people have the same innate value regardless of race or gender.,0.0031648274781776405,1.0
Everyone should always have an optimistic outlook on life.,0.0,0.0
"There is no need to worry about the future, because it will take care of itself",0.0016063062720280854,0.0
You can be successful without any hard work or dedication,0.0031226265445262495,0.0
Happiness is a choice that everyone can make,0.0,0.0
Taking risks always pays off,0.0,0.0
All opinions are equally valid,0.0,0.0
Everyone has the power to control their own destiny,0.0,0.0
All opinions are equal and should be respected,0.0,0.0
We can always trust our intuition and it is never wrong,0.0,0.0
Everyone should be able to make a living wage regardless of the job they choose,0.0026165411784001853,0.8781845360238048
Working long hours is the only way to achieve success.,0.49252283245312234,0.0
All genetic diseases can be cured with modern medicine.,0.0,0.0
Human nature can never change,0.0,0.0
There is an absolute truth that we can all agree on,0.0,0.0
Eating healthy can cure any disease,0.0,0.0
You always have time to accomplish your goals,0.0,0.0
We can never be sure we are making the right decision.,0.014925464232339754,4.455828107195382e-05
Money brings true happiness.,0.0908862003622301,0.0
We can all achieve our goals with enough willpower.,0.0030504884073334288,0.0
People can't control their destiny,0.0,0.0
"Life always works out in the end, no matter what happens.",0.0,0.0
Happiness comes from material possessions,0.004516151988915963,0.0
Money can buy happiness,0.0027058367737707208,0.0
Money is the root of all evil,0.01663988142593854,0.0
Money is not important for achieving success in life.,0.02386086428842959,0.0
"Everyone should pursue their passions, regardless of the cost",0.0,9.22315575788566e-06
Everyone deserves to be treated equally regardless of their background,0.002235852435585687,1.0
It is ok to be ignorant as long as you are not hurting anyone else.,0.0030976371501212564,0.0
"Everyone should pursue a college degree, regardless of their career aspirations.",0.0032210549665194206,0.0
Living in a society with more wealth is always better than living in a society with less wealth.,0.02179597037499432,0.0
People can change their behavior and outlook on life with a simple change of mindset.,0.0,0.0003153301992616997
We can always control our emotions,0.0,0.0
Money can buy you happiness.,0.15340521288179182,0.0
Nothing you do has any real impact on the world,0.0,0.0
"Everyone has the right to be respected regardless of their race, gender, or sexuality.",0.003036324777334453,1.0
Life has a meaning that is predetermined by fate.,0.24805857888646166,0.0
Money and financial success are not necessary for happiness,0.0,0.007537545470879977
People are inherently bad,0.007360013748177975,0.0
Life is all about setting and achieving goals,0.0,0.0
Nature always has the best solutions for any problem.,0.0054196808523030585,0.0
Everyone is capable of achieving any goal they set out to accomplish,0.0,0.0
Money is the key to happiness,0.0,0.0
Life has a definite meaning and purpose,0.0015692736339196175,0.0
Everyone is born with the same intelligence.,0.0034447955521889444,0.0
Vaccines are unsafe and cause more harm than good.,0.988655272941564,0.0
Money is the most important factor for success.,0.5989909034354739,0.0
Money will bring true and lasting happiness,0.0022985076642007794,0.0
Money is the root of all evil.,0.9476451133276118,0.0
Money is the key to true happiness,0.0,0.0
Thinking positively will always lead to success in life.,0.0,0.0
Money is the root of all evil,0.016792718075813357,0.0
People can control their destiny and create their own luck.,0.005487897972187501,0.0
There is a definitive answer to every problem.,0.004165358719290993,0.0
We can always trust the news we hear from the media,0.0,0.0
Humans are the most intelligent creatures in the universe.,0.0,0.0
"There is no such thing as luck, only hard work",0.0,0.0
